Startup Name,Website,Sector ,Stage of the Product,Business Model
Toola Finance,https://toola.finance,Financial  Technology,MVP,B2B
august devices India Private Limited,Augusta.com,Deep technology,Growth,B2B2C
HEALTH SYNC AI CONNECT PRIVATE LIMITED,https://healthsynconnect.com/,Health technology,MVP,B2B2C
Dharti Property Management Company,www.dhartipro.com,Deep technology,POC/Prototype,B2B2C
Etalogue Software Private Limited,etalogue.com,Deep technology,MVP,B2B2C
Aganitha cognitive solutions private limited,https://aganitha.ai,Deep technology,Growth,B2B
Meeami Technologies,https://www.meeamitech.com/,Deep technology,Growth,B2B
Agilean Solutions Private Limited,www.acta.ai,Enterprise technology,Growth,B2B
FIO Labs,https://www.fiolabs.ai/,Financial technology,Idea,B2B
Nostradamus Technologies Private Limited,www.nostratech.ai,Deep technology,MVP,B2B
Hyderabad Angels Venture Advisory Private Limited,haf.vc,Venture Capital,Growth,B2B2C
Bizmorphic Research Pvt.Ltd,https://bizmorphic.com,Deep technology,POC/Prototype,B2B
INTELLECAP ADVISORY SERVICES PRIVATE LIMITED,www.intellecap.com,Sustainability,Growth,B2B
ReNote AI Private Limited,www.renote.ai,Deep technology,POC/Prototype,B2B2C
Edgeble AI,https://www.edgeble.ai,Deep technology,MVP,B2B2C
HyperleapAI,https://hyperleap.ai,Enterprise technology,MVP,B2B
AI.HYR (Providentia Labs Pvt. Ltd),aihyr.com,HR Tech,MVP,B2B
Malla Reddy University,www.mallareddyuniversity.ac.in,Education technology,Idea,B2B
IL TalentFarm LLP,https://www.talentfarm.ai/,Education technology,MVP,B2B2C
RSG Business Solutions LLP,www.rightsource-global.com,Education technology,MVP,B2B
Naredla Sumalatha,https://90heal.com,Education technology,MVP,B2B2C
ProFinTech Technologies Pvt Ltd,https://profintech.in/,Financial technology,POC/Prototype,B2B
ARVIS DIGITAL LABS PRIVATE LIMITED,https://automatr.tech/,Enterprise technology,Growth,B2B
Rava Digital Solutions Private Ltd,www.rava.ai,Enterprise technology,MVP,B2B
AppGoLive Pvt Ltd,https://appgolive.io,Enterprise technology,Idea,B2C
GenZ Technologies Pvt Ltd,https://www.genzers.ai/,Deep technology,Growth,B2B
DOCTORITE (TWILIGHT IT PROFESSIONALS PRIVATE LIMITED),https://doctorite.co,Health technology,Growth,B2C
NicheBrains India Private Limited,https://www.nichebrains.ai/,Enterprise technology,Growth,B2C
Monitra Healthcare Private Limited,https://www.monitrahealth.com/,Health technology,Growth,B2B
