Startup Name,Website,Sector ,Stage of the Product,Type,Business Model,Currency,Exchange Rate
Toola Finance,https://toola.finance,Fin Tech,MVP,Startup,B2B,INR,1
august devices India Private Limited,Augusta.com,Deep Tech,Growth,Startup,B2B2C,INR,1
HEALTH SYNC AI CONNECT PRIVATE LIMITED,https://healthsynconnect.com/,Health Tech,MVP,Startup,B2B2C,INR,1
Dharti Property Management Company,www.dhartipro.com,Deep Tech,POC/Prototype,Startup,B2B2C,INR,1
Etalogue Software Private Limited,etalogue.com,Deep Tech,MVP,Startup,B2B2C,INR,1
Aganitha cognitive solutions private limited,https://aganitha.ai,Deep Tech,Growth,Startup,B2B,INR,1
Meeami Technologies,https://www.meeamitech.com/,Deep Tech,Growth,Startup,B2B,INR,1
Agilean Solutions Private Limited,www.acta.ai,Enterprise Tech,Growth,Startup,B2B,INR,1
FIO Labs,https://www.fiolabs.ai/,Fin Tech,Idea,Startup,B2B,INR,1
Nostradamus Technologies Private Limited,www.nostratech.ai,Deep Tech,MVP,Startup,B2B,INR,1
Hyderabad Angels Venture Advisory Private Limited,haf.vc,Venture Capital,Growth,Startup,B2B2C,INR,1
Bizmorphic Research Pvt.Ltd,https://bizmorphic.com,Deep Tech,POC/Prototype,Startup,B2B,INR,1
INTELLECAP ADVISORY SERVICES PRIVATE LIMITED,www.intellecap.com,Sustainability,Growth,Startup,B2B,INR,1
Nikat Solutions Pvt Ltd,,,,Startup,,INR,1
Tips Chair Innovation Labs,,,,Startup,,INR,1
ReNote AI Private Limited,www.renote.ai,Deep Tech,POC/Prototype,Startup,B2B2C,INR,1
SMARTAIL PRIVATE LIMITED,https://smartail.ai/,Deep Tech,Growth,Startup,B2B,INR,1
MetaBrix labs,https://metabrixlab.com/,Deep Tech,MVP,Startup,B2B2C,INR,1
Edgeble AI,https://www.edgeble.ai,Deep Tech,MVP,Startup,B2B2C,INR,1
HyperleapAI,https://hyperleap.ai,Enterprise Tech,MVP,Startup,B2B,INR,1
AI.HYR (Providentia Labs Pvt. Ltd),aihyr.com,HR Tech,MVP,Startup,B2B,INR,1
Harbour Politica Private Limited,www.thequipu.com,Deep Tech,POC/Prototype,Startup,B2B,INR,1
Malla Reddy University,www.mallareddyuniversity.ac.in,Ed Tech,Idea,Startup,B2B,INR,1
IL TalentFarm LLP,https://www.talentfarm.ai/,Ed Tech,MVP,Startup,B2B2C,INR,1
Pascalcase Software Private Limited,https://pascalcase.ai,Deep Tech,POC/Prototype,Startup,B2B,INR,1
RSG Business Solutions LLP,www.rightsource-global.com,Ed Tech,MVP,Startup,B2B,INR,1
Naredla Sumalatha,https://90heal.com,Ed Tech,MVP,Startup,B2B2C,INR,1
Pushpaktech Private Limited,https://www.pushpak.ai/,Deep Tech,Growth,Startup,B2B,INR,1
ProFinTech Technologies Pvt Ltd,https://profintech.in/,Fin Tech,POC/Prototype,Startup,B2B,INR,1
ARVIS DIGITAL LABS PRIVATE LIMITED,https://automatr.tech/,Enterprise Tech,Growth,Startup,B2B,INR,1
Rava Digital Solutions Private Ltd,www.rava.ai,Enterprise Tech,MVP,Startup,B2B,INR,1
AppGoLive Pvt Ltd,https://appgolive.io,Enterprise Tech,Idea,Startup,B2C,INR,1
GenZ Technologies Pvt Ltd,https://www.genzers.ai/,Deep Tech,Growth,Startup,B2B,INR,1
MEGHAAI INDIA PRIVATE LIMITED,,Industry 4.0,,Startup,B2B,INR,1
Energetic Info Solutions Private Limited,,,,Corporate,,INR,1
Piatrika Biosystems Pvt Ltd,https://piatrika.com,Agri tech,,Startup,B2C,INR,1
Excelli Technologies Private Limited,https://excelli.com,Deep Tech,MVP,Startup,,INR,1
Setuserv Informatics Private Limited,https://www.setuserv.com/,Deep Tech,,Startup,,INR,1
Kaashyap Envergy Infrastructures Private Limited,https://kaashyapenvergy.com,Energy,,Startup,,INR,1
DOCTORITE (TWILIGHT IT PROFESSIONALS PRIVATE LIMITED),https://doctorite.co,Health Tech,Growth,Startup,B2C,INR,1
Drut Networks India LLP,https://drut.io,IT Infrastructure,,Startup,,INR,1
Deep Element Information Technologies Private Limited,https://www.deepelement.ai/,Deep Tech,Prototype Stage,Startup,,INR,1
NicheBrains India Private Limited,https://www.nichebrains.ai/,Enterprise Tech,Growth,Startup,B2B,INR,1
Monitra Healthcare Private Limited,https://www.monitrahealth.com/,Health Tech,Growth,Startup,B2C,INR,1
Hyper Thread Solutions Private Limited,https://www.synlogics.com/,Deep Tech,Growth,Startup,B2B,INR,1
KISAI TECHNOLOGIES PRIVATE LIMITED,https://ideanz.io,IT Infrastructure,Prototype Stage,Startup,B2B,INR,1
Loop Reality Private Limited,http://loopreality.com,HR Tech,,Startup,,INR,1
Coral Innovations Pvt. Ltd,https://coralinnovations.in,Enterprise Tech,,Startup,,INR,1
